"node","pathway_name","describtion","pathway_class","p_value","p_adjust","mapped_id","Count","database","degree","module","module_content_number"
"hsa00140","Steroid hormone biosynthesis","Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A [MD:M00111]. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.","Metabolism; Lipid metabolism","1.4774490423625e-08",4.15163180903864e-06,"C04555;C05503;C00735;C05498;C00762;C00468;C01953;C02538;C00410;C05504;C01176","11","KEGG","8","Functional_module_1",5
"SMP0000718","3-beta-Hydroxysteroid Dehydrogenase Deficiency","3-beta (β)-hydroxysteroid dehydrogenase (HSD) deficiency is an inherited disorder that affects hormone-producing glands including the gonads (ovaries in females and testes in males) and the adrenal glands.Mutations in the HSD3B2 gene cause 3β-HSD deficiency. The HSD3B2 gene provides instructions for making the 3β-HSD enzyme. This enzyme is found in the gonads and adrenal glands. The 3β-HSD enzyme is involved in the production of many hormones, including cortisol, aldosterone, androgens, and estrogen. Cortisol has numerous functions such as maintaining energy and blood sugar levels, protecting the body from stress, and suppressing inflammation.","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","11","Functional_module_1",5
"SMP0000373","Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia Due to 21-Hydroxylase Deficiency","Adrenal hyperplasia type 3, also called Congenital adrenal hyperplasia due to 21-hydroxylase deficiency, is caused by a defect in the CYP21A2 gene which codes for Steroid 21-hydroxylase (21-hydroxylase). Steroid 21-hydroxylase catalyzes hydroxylation of 17-hydroxyprogesterone to 11-deoxycortisol in the glucocorticoid pathway from pregnenolone to cortisol. It also catalyzes hydroxylation of progesterone to 11-deoxycorticosterone (DOC) in the mineralocorticoid pathway on its way from pregnenolone to aldosterone. A defect in this enzyme results in accumulation of 17-Hydroxyprogesterone, progesterone and 17a-Hydroxypregnenolone, androstenedione, and testosterone; decreased levels of cortexolone, deoxycorticosterone, aldosterone and cortisol. Symptoms include salt-wasting crises in infancy due to the lack of aldosterone, like spitting, poor weight gain, vomiting, severe dehydration, and circulatory collapse. The high level of testosterone results in virilization and genital ambiguity of female infants.","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","11","Functional_module_1",5
"SMP0000372","Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia Due to 17 alpha-Hydroxylase Deficiency","Adrenal hyperplasia type 5 (AH5; Congenital Adrenal Hyperplasia due to 17 Alpha hydroxylase Deficiency) is a form of congenital adrenal hyperplasia. It is caused by a defect in the CYP17A1 gene which codes for Steroid 17-alpha-hydroxylase/17,20 lyase. These 2 enzymes convert pregnenolone and progesterone to their 17-hydroxy forms in steroidogenesis and mediate three key transformations in cortisol and sex steroid synthesis. A defect in 17-alpha-hydroxylase results in decreased synthesis of both cortisol and sex steroids; increase in mineralocorticoids. Common symptoms include mild hypocortisolism, ambiguous genitalia in genetic males or failure of the ovaries to function at puberty in genetic females, and hypertension. Hypertension and mineralocorticoid excess is treated with glucocorticoid replacement. Genetically female patients need female hormone replacement to induce puberty and regulate menses. Surgery may be needed for males with ambiguous genitalia. Testosterone must be replaced for genetically males (XY) to induce puberty and continued throughout adult life.","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","11","Functional_module_1",5
"SMP0000130","Steroidogenesis","Steroidogenesis is the process wherein desired forms of steroids are generated by transformation of other steroids.  Products of steroidogenesis include androgens, testosterone, estrogens and progesterone, corticoids, cortisol and aldosterone.  The first step in the synthesis of all steroid hormones is the synthesis of pregnenolone from cholesterol.  In this process, cholesterol mobilized from cytosolic lipid droplets or from lysosomes is transported to mitochondria and becomes localized to the inner mitochondrial membrane.  In the inner mitochondrial membrane, cholesterol is converted to pregnenolone in a sequence of three reactions, all catalyzed by CYP11A (side chain cleavage enzyme).  Finally, pregnenolone re-enters the cytosol.  Pregnenolone is converted to progesterone in two reactions, both catalyzed by 3-beta-hydroxysteroid dehydrogenase/isomerase.  Progesterone is hydroxylated by CYP21A2 to form deoxycorticosterone, which in turn is converted to aldosterone in a three-reaction sequence catalyzed by CYP11B2.  Pregnenolone is converted to 17alpha-hydoxyprogesterone in two reactions, both catalyzed by 3-beta-hydroxysteroid dehydrogenase/isomerase.  17Alpha-hydroxyprogesterone is hydroxylated by CYP21A2 to form 11-deoxycortisol, which in turn is converted to cortisol by CYP11B1.  The conversion of the active steroid hormone, cortisol, to inactive cortisone occurs in many tissues, notably the liver.  Testosterone biosynthesis begins with pregnenolone.  Subsequent steps require several enzymes including, 3β-hydroxysteroid dehydrogenase, 17α-hydroxylase/C17-20-lyase and 17β-hydroxysteroid dehydrogenase type 3.  Specifically, pregnenolone is converted to 17-hydroxypregnenolone and dehydroepiandrosterone by CYP17 (17α-hydroxylase).  Dehydroepiandrosterone is then converted to androstenedione by 3β-hydroxysteroid dehydrogenase.  Androstenedione can have two fates, it can either be converted to estrone via CYP19 (aromatase/estrogen synthase) or it can be converted to testosterone via 17β-hydroxysteroid dehydrogenase.  Free testosterone is transported into the cytoplasm of target tissue cells, where it can bind to the androgen receptor, or can be reduced to 5α-dihydrotestosterone (DHT) by the cytoplasmic enzyme 5-alpha reductase.  Testosterone may also be converted to estradiol by the action of CYP19 (aromatase/estrogen synthase). ","Metabolic;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","4","Functional_module_1",5
"hsa00232","Caffeine metabolism","NA","Metabolism; Biosynthesis of other secondary metabolites","1.56978618449667e-07",2.20554958921782e-05,"C16361;C07480;C16358;C07130;C13747;C07481","6","KEGG","1","Functional_module_2",2
"SMP0000028","Caffeine Metabolism","Caffeine is obtained from diet including coffee and other beverages and is absorbed in the stomach and small intestine. In the liver, the cytochrome P450 oxidase enzyme system and specifically CYP1A2 metabolizes caffeine into paraxanthine to increase lipolysis and increase free fatty acids and glycerol levels in the blood, theobromine to dilate blood vessels and increase urine volume and theophylline which relaxes bronchi smooth muscles. In the lysosome, these metabolites undergo further metabolism into methyluric acids before being excreted in the urine. There is genetic variability in the metabolism of caffeine due to the polymorphism of CYP1A2. This variability can affect the pharmacokinetic and pharmacodynamic properties of caffeine and may affect an individual's consumption. ","Metabolic;primary_pathway","5.28216652521408e-06",0.00463246004261275,"HMDB0002123;HMDB0002825;HMDB0010738;HMDB0001889;HMDB0001860;HMDB0001847","6","HMDB","1","Functional_module_2",2
"hsa04976","Bile secretion","Bile is a vital secretion, essential for digestion and absorption of fats and fat-soluble vitamins in the small intestine. Moreover, bile is an important route of elimination for excess cholesterol and many waste product, bilirubin, drugs and toxic compounds. Bile secretion depends on the function of membrane transport systems in hepatocytes and cholangiocytes and on the structural and functional integrity of the biliary tree. The hepatocytes generate the so-called primary bile in their canaliculi. Cholangiocytes modify the canalicular bile by secretory and reabsorptive processes as bile passes through the bile ducts. The main solutes in bile are bile acids, which stimulate bile secretion osmotically, as well as facilitate the intestinal absorption of dietary lipids by their detergent properties. Bile acids are also important signalling molecules. Through the activation of nuclear receptors, they regulate their own synthesis and transport rates.","Organismal Systems; Digestive system","0.000200297225096104",0.00837526289645789,"C05466;C04555;C03033;C05465;C05503;C01443;C00735;C00695;C02538","9","KEGG","0","Functional_module_3",1
"SMP0000575","11-beta-Hydroxylase Deficiency (CYP11B1)","Congenital adrenal hyperplasia (CAH) due to 11-beta-hydroxylase deficiency is one of a group of disorders (collectively called congenital adrenal hyperplasia) that affect the adrenal glands. The adrenal glands are located on top of the kidneys and produce a variety of hormones that regulate many essential functions in the body. In people with CAH due to 11-beta-hydroxylase deficiency, the adrenal glands produce excess androgens, which are male sex hormones. There are two types of CAH due to 11-beta-hydroxylase deficiency, the classic form and the non-classic form. The classic form is the more severe of the two types.","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","10","Functional_module_4",7
"SMP0000566","17-alpha-Hydroxylase Deficiency (CYP17)","Congenital adrenal hyperplasia (CAH) refers to any of several autosomal recessive diseases resulting from mutations of genes for enzymes mediating the biochemical steps of production of cortisol from cholesterol by the adrenal glands (steroidogenesis). Most of these conditions involve excessive or deficient production of sex steroids and can alter development of primary or secondary sex characteristics in some affected infants, children, or adults.","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","10","Functional_module_4",7
"SMP0000576","21-Hydroxylase Deficiency (CYP21)","Congenital adrenal hyperplasia (CAH) refers to any of several autosomal recessive diseases resulting from mutations of genes for enzymes mediating the biochemical steps of production of cortisol from cholesterol by the adrenal glands (steroidogenesis). 21-hydroxylase deficiency is an inherited disorder that affects the adrenal glands. The adrenal glands are located on top of the kidneys and produce a variety of hormones that regulate many essential functions in the body. In people with 21-hydroxylase deficiency, the adrenal glands produce excess androgens, which are male sex hormones. There are three types of 21-hydroxylase deficiency. Two types are classic forms, known as the salt-wasting and simple virilizing types. The third type is called the non-classic type. The salt-wasting type is the most severe, the simple virilizing type is less severe, and the non-classic type is the least severe form.","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","10","Functional_module_4",7
"SMP0000717","Apparent Mineralocorticoid Excess Syndrome","Apparent mineralocorticoid excess (AME) is an autosomal recessive form of low-renin hypertension associated with low aldosterone, metabolic alkalosis, hypernatremia, and hypokalemia. The disorder is due to a congenital defect in 11-beta-hydroxysteroid dehydrogenase type II (HSD11B2) activity, resulting in decreased conversion of biologically active cortisol to inactive cortisone; this defect allows cortisol to act as a ligand for the mineralocorticoid receptor, resulting in sodium retention and volume expansion. There is a favorable therapeutic response to spironolactone (review by Ferrari, 2010).","Disease;primary_pathway","0.000140660885193344",0.0102799663595469,"HMDB0000063;HMDB0004031;HMDB0002802;HMDB0000253;HMDB0001830;HMDB0000374","6","HMDB","9","Functional_module_4",7
